# k is in units of fm^{-1}
# u(k) is the S-wave wave function in units of fm^{3/2}
# w(k) is the D-wave wave function in units of fm^{3/2}
# 
# Normalization:
# 
# integral[ (u(k)^2+w(k)^2) k^2 dk ] =  1
# 
#
# Original file by Bob Wiringa
# Original: https://www.phy.anl.gov/theory/research/av18/deut.wfk
# Modified 2025.09.29 by Adam Freese:
# - # before comments
# - remove some whitespace
# - some comments in header
# Use:
#   df = pd.read_csv("/path/to/av18k.csv", sep='\s+', comment='#')
# to import as a pandas dataframe
#
#
 k           u(k)           w(k)
 9.45000    1.1489586764E-04   -6.6342467754E-05
 9.50000    1.1266605243E-04   -6.4508039732E-05
 9.55000    1.1037508748E-04   -6.2674670500E-05
 9.60000    1.0803221511E-04   -6.0846166798E-05
 9.65000    1.0564609166E-04   -5.9026021865E-05
 9.70000    1.0322481438E-04   -5.7217433265E-05
 9.75000    1.0077594817E-04   -5.5423320143E-05
 9.80000    9.8306550069E-05   -5.3646339790E-05
 9.85000    9.5823191562E-05   -5.1888903364E-05
 9.90000    9.3331980820E-05   -5.0153190674E-05
 9.95000    9.0838585789E-05   -4.8441164005E-05
10.00000    8.8348256446E-05   -4.6754581083E-05
10.05000    8.5865844584E-05   -4.5095007369E-05
10.10000    8.3395821935E-05   -4.3463827955E-05
10.15000    8.0942298920E-05   -4.1862259258E-05
10.20000    7.8509044604E-05   -4.0291360450E-05
10.25000    7.6099505901E-05   -3.8752044367E-05
10.30000    7.3716824291E-05   -3.7245087577E-05
10.35000    7.1363850786E-05   -3.5771139478E-05
10.40000    6.9043161263E-05   -3.4330730560E-05
10.45000    6.6757072616E-05   -3.2924280075E-05
10.50000    6.4507658097E-05   -3.1552103426E-05
10.55000    6.2296760601E-05   -3.0214419522E-05
10.60000    6.0126004973E-05   -2.8911358205E-05
10.65000    5.7996811120E-05   -2.7642967669E-05
10.70000    5.5910407857E-05   -2.6409221553E-05
10.75000    5.3867845533E-05   -2.5210025343E-05
10.80000    5.1870006333E-05   -2.4045221891E-05
10.85000    4.9917613585E-05   -2.2914596150E-05
10.90000    4.8011241958E-05   -2.1817879451E-05
10.95000    4.6151328508E-05   -2.0754753685E-05
11.00000    4.4338182797E-05   -1.9724855603E-05
11.05000    4.2571995201E-05   -1.8727781287E-05
11.10000    4.0852844599E-05   -1.7763090693E-05
11.15000    3.9180706893E-05   -1.6830311996E-05
11.20000    3.7555463891E-05   -1.5928945464E-05
11.25000    3.5976910869E-05   -1.5058466662E-05
11.30000    3.4444762338E-05   -1.4218329037E-05
11.35000    3.2958657573E-05   -1.3407966173E-05
11.40000    3.1518167351E-05   -1.2626794046E-05
11.45000    3.0122801263E-05   -1.1874213471E-05
11.50000    2.8772013841E-05   -1.1149612725E-05
11.55000    2.7465209033E-05   -1.0452370188E-05
11.60000    2.6201744414E-05   -9.7818568041E-06
11.65000    2.4980936330E-05   -9.1374381728E-06
11.70000    2.3802065277E-05   -8.5184761824E-06
11.75000    2.2664380073E-05   -7.9243302236E-06
11.80000    2.1567100770E-05   -7.3543582016E-06
11.85000    2.0509421820E-05   -6.8079176200E-06
11.90000    1.9490516410E-05   -6.2843669045E-06
11.95000    1.8509540929E-05   -5.7830669223E-06
12.00000    1.7565638058E-05   -5.3033825018E-06
12.05000    1.6657938528E-05   -4.8446837422E-06
12.10000    1.5785563099E-05   -4.4063469907E-06
12.15000    1.4947625614E-05   -3.9877554755E-06
12.20000    1.4143236193E-05   -3.5882996750E-06
12.25000    1.3371503283E-05   -3.2073775853E-06
12.30000    1.2631534794E-05   -2.8443950861E-06
12.35000    1.1922439718E-05   -2.4987665453E-06
12.40000    1.1243330691E-05   -2.1699156391E-06
